date,province,city,confirmed
2019-12-01,湖北省,武汉,1
2019-12-02,湖北省,武汉,1
2019-12-03,湖北省,武汉,1
2019-12-04,湖北省,武汉,1
2019-12-05,湖北省,武汉,1
2019-12-06,湖北省,武汉,1
2019-12-07,湖北省,武汉,1
2019-12-08,湖北省,武汉,1
2019-12-09,湖北省,武汉,1
2019-12-10,湖北省,武汉,1
2019-12-11,湖北省,武汉,4
2019-12-12,湖北省,武汉,4
2019-12-13,湖北省,武汉,4
2019-12-14,湖北省,武汉,4
2019-12-15,湖北省,武汉,6
2019-12-16,湖北省,武汉,6
2019-12-17,湖北省,武汉,7
2019-12-18,湖北省,武汉,8
2019-12-19,湖北省,武汉,9
2019-12-20,湖北省,武汉,14
2019-12-21,湖北省,武汉,18
2019-12-22,湖北省,武汉,21
2019-12-23,湖北省,武汉,29
2019-12-24,湖北省,武汉,30
2019-12-25,湖北省,武汉,33
2019-12-26,湖北省,武汉,35
2019-12-27,湖北省,武汉,37
2019-12-28,湖北省,武汉,37
2019-12-29,湖北省,武汉,37
2019-12-30,湖北省,武汉,37
2019-12-31,湖北省,武汉,40
2020-01-01,湖北省,武汉,43
2020-01-02,湖北省,武汉,44
2020-01-03,湖北省,武汉,41
2020-01-04,湖北省,武汉,41
2020-01-05,湖北省,武汉,41
2020-01-06,湖北省,武汉,41
2020-01-07,湖北省,武汉,41
2020-01-08,湖北省,武汉,41
2020-01-09,湖北省,武汉,41
2020-01-10,湖北省,武汉,41
2020-01-11,湖北省,武汉,41
2020-01-12,湖北省,武汉,41
2020-01-13,湖北省,武汉,41
2020-01-14,湖北省,武汉,41
2020-01-15,湖北省,武汉,41
2020-01-16,湖北省,武汉,45
2020-01-17,湖北省,武汉,62
2020-01-18,湖北省,武汉,121
2020-01-19,湖北省,武汉,198
2020-01-19,广东省,深圳,1
2020-01-20,上海市,外地来沪,1
2020-01-21,北京市,武汉来京,1
2020-01-21,北京市,西城,1
2020-01-21,北京市,丰台,1
2020-01-21,北京市,海淀,2
2020-01-21,北京市,通州,1
2020-01-21,北京市,昌平,2
2020-01-21,北京市,大兴,2
2020-01-21,黑龙江省,牡丹江,0
2020-01-21,浙江省,杭州,1
2020-01-21,浙江省,温州,2
2020-01-21,浙江省,舟山,1
2020-01-21,浙江省,台州,1
2020-01-21,安徽省,合肥,0
2020-01-21,江西省,萍乡,1
2020-01-21,江西省,抚州,1
2020-01-21,山东省,青岛,1
2020-01-21,河南省,郑州,1
2020-01-21,湖南省,长沙,1
2020-01-21,广东省,广州,2
2020-01-21,广东省,韶关,2
2020-01-21,广东省,深圳,14
2020-01-21,广东省,珠海,4
2020-01-21,广东省,佛山,1
2020-01-21,广东省,湛江,2
2020-01-21,广东省,惠州,1
2020-01-21,重庆市,万州,2
2020-01-21,重庆市,长寿,1
2020-01-21,重庆市,巫山,2
2020-01-21,四川省,成都,1
